T,E,PE
  0.10000000E-01,  0.67139918E-02,  0.00000000E+00
  0.20000000E-01,  0.67139917E-02,  0.00000000E+00
  0.30000000E-01,  0.67139917E-02,  0.00000000E+00
  0.40000000E-01,  0.67139917E-02,  0.00000000E+00
  0.50000000E-01,  0.67139916E-02,  0.00000000E+00
  0.60000000E-01,  0.67139916E-02,  0.00000000E+00
  0.70000000E-01,  0.67139916E-02,  0.00000000E+00
  0.80000000E-01,  0.67139916E-02,  0.00000000E+00
  0.90000000E-01,  0.67139915E-02,  0.00000000E+00
  0.10000000E+00,  0.67139915E-02,  0.00000000E+00
  0.11000000E+00,  0.67139915E-02,  0.00000000E+00
  0.12000000E+00,  0.67139914E-02,  0.00000000E+00
  0.13000000E+00,  0.67139914E-02,  0.00000000E+00
  0.14000000E+00,  0.67139914E-02,  0.00000000E+00
  0.15000000E+00,  0.67139914E-02,  0.00000000E+00
  0.16000000E+00,  0.67139913E-02,  0.00000000E+00
  0.17000000E+00,  0.67139913E-02,  0.00000000E+00
  0.18000000E+00,  0.67139913E-02,  0.00000000E+00
  0.19000000E+00,  0.67139913E-02,  0.00000000E+00
  0.20000000E+00,  0.67139912E-02,  0.00000000E+00
  0.21000000E+00,  0.67139912E-02,  0.00000000E+00
  0.22000000E+00,  0.67139912E-02,  0.00000000E+00
  0.23000000E+00,  0.67139911E-02,  0.00000000E+00
  0.24000000E+00,  0.67139911E-02,  0.00000000E+00
  0.25000000E+00,  0.67139911E-02,  0.00000000E+00
  0.26000000E+00,  0.67139911E-02,  0.00000000E+00
  0.27000000E+00,  0.67139910E-02,  0.00000000E+00
  0.28000000E+00,  0.67139910E-02,  0.00000000E+00
  0.29000000E+00,  0.67139910E-02,  0.00000000E+00
  0.30000000E+00,  0.67139910E-02,  0.00000000E+00
  0.31000000E+00,  0.67139909E-02,  0.00000000E+00
  0.32000000E+00,  0.67139909E-02,  0.00000000E+00
  0.33000000E+00,  0.67139909E-02,  0.00000000E+00
  0.34000000E+00,  0.67139908E-02,  0.00000000E+00
  0.35000000E+00,  0.67139908E-02,  0.00000000E+00
  0.36000000E+00,  0.67139908E-02,  0.00000000E+00
  0.37000000E+00,  0.67139908E-02,  0.00000000E+00
  0.38000000E+00,  0.67139907E-02,  0.00000000E+00
  0.39000000E+00,  0.67139907E-02,  0.00000000E+00
  0.40000000E+00,  0.67139907E-02,  0.00000000E+00
  0.41000000E+00,  0.67139906E-02,  0.00000000E+00
  0.42000000E+00,  0.67139906E-02,  0.00000000E+00
  0.43000000E+00,  0.67139906E-02,  0.00000000E+00
  0.44000000E+00,  0.67139905E-02,  0.00000000E+00
  0.45000000E+00,  0.67139905E-02,  0.00000000E+00
  0.46000000E+00,  0.67139905E-02,  0.00000000E+00
  0.47000000E+00,  0.67139904E-02,  0.00000000E+00
  0.48000000E+00,  0.67139904E-02,  0.00000000E+00
  0.49000000E+00,  0.67139904E-02,  0.00000000E+00
  0.50000000E+00,  0.67139903E-02,  0.00000000E+00
  0.51000000E+00,  0.67139903E-02,  0.00000000E+00
  0.52000000E+00,  0.67139903E-02,  0.00000000E+00
  0.53000000E+00,  0.67139902E-02,  0.00000000E+00
  0.54000000E+00,  0.67139902E-02,  0.00000000E+00
  0.55000000E+00,  0.67139902E-02,  0.00000000E+00
  0.56000000E+00,  0.67139901E-02,  0.00000000E+00
  0.57000000E+00,  0.67139901E-02,  0.00000000E+00
  0.58000000E+00,  0.67139901E-02,  0.00000000E+00
  0.59000000E+00,  0.67139900E-02,  0.00000000E+00
  0.60000000E+00,  0.67139900E-02,  0.00000000E+00
  0.61000000E+00,  0.67139899E-02,  0.00000000E+00
  0.62000000E+00,  0.67139899E-02,  0.00000000E+00
  0.63000000E+00,  0.67139899E-02,  0.00000000E+00
  0.64000000E+00,  0.67139898E-02,  0.00000000E+00
  0.65000000E+00,  0.67139898E-02,  0.00000000E+00
  0.66000000E+00,  0.67139897E-02,  0.00000000E+00
  0.67000000E+00,  0.67139897E-02,  0.00000000E+00
  0.68000000E+00,  0.67139896E-02,  0.00000000E+00
  0.69000000E+00,  0.67139896E-02,  0.00000000E+00
  0.70000000E+00,  0.67139896E-02,  0.00000000E+00
  0.71000000E+00,  0.67139895E-02,  0.00000000E+00
  0.72000000E+00,  0.67139895E-02,  0.00000000E+00
  0.73000000E+00,  0.67139895E-02,  0.00000000E+00
  0.74000000E+00,  0.67139894E-02,  0.00000000E+00
  0.75000000E+00,  0.67139894E-02,  0.00000000E+00
  0.76000000E+00,  0.67139893E-02,  0.00000000E+00
  0.77000000E+00,  0.67139893E-02,  0.00000000E+00
  0.78000000E+00,  0.67139893E-02,  0.00000000E+00
  0.79000000E+00,  0.67139892E-02,  0.00000000E+00
  0.80000000E+00,  0.67139892E-02,  0.00000000E+00
  0.81000000E+00,  0.67139892E-02,  0.00000000E+00
  0.82000000E+00,  0.67139891E-02,  0.00000000E+00
  0.83000000E+00,  0.67139891E-02,  0.00000000E+00
  0.84000000E+00,  0.67139891E-02,  0.00000000E+00
  0.85000000E+00,  0.67139891E-02,  0.00000000E+00
  0.86000000E+00,  0.67139890E-02,  0.00000000E+00
